cluster,PC1,PC2
0,-1.0553972626503434,-2.10827826931223
0,-0.245404308497842,-0.6683944321623493
0,-0.9834349051662803,-2.028150859756656
0,-0.06697956751731789,-0.09091784376108003
0,-0.5601828155711446,-2.8817168343909203
0,0.8734325956374043,-2.20692872833735
0,0.8974273533063156,-1.4982455476248477
0,-1.4212916936310054,-1.7813681027474937
1,1.869324464125654,-1.0186293982991668
1,0.5333383839402026,0.3210783959889245
0,-0.7987765426802008,-1.486736457309415
2,-2.7992051863961582,0.9818737389738547
1,2.5501871797005435,0.3712572591514323
1,2.446563742953901,-0.4416730663946219
0,1.388284873567153,-1.173418656542152
1,3.57077022758455,1.8928954719196622
2,-2.29455638382991,1.6107390723705506
1,3.0741155304384575,1.1313421451587375
0,-0.6677913693221027,-1.0978200328744125
0,0.7748102637526276,-1.7394425318092122
0,-0.7662948482723727,-2.328418376102175
2,-2.7355239549031354,1.0280505804946731
2,-3.2456558980540615,0.1716439197546739
1,1.1860554967248593,0.26091113751912753
1,0.431036325470005,0.20731373427853134
0,-0.16883757756620646,-1.270801410435457
1,2.2912749541164037,-0.4699118213916072
0,-1.2528366418434527,-1.706888826581696
1,2.9614500472277356,1.5878271798188455
0,-0.22724924064730984,-1.6217085168312133
1,3.0247488006998786,1.0549715506177042
0,0.5249212410447146,-2.0462941094656184
0,0.10733823774809167,0.11895278849884769
2,-3.1167890801350313,0.20690528232109778
0,-1.2732459448031257,-2.3697079712463123
1,2.957416490682226,1.5205156346772957
0,-0.5089172279790176,-2.791404123484777
0,0.9001568718803381,-1.146942119120534
1,1.9966310331833004,-1.14420459989137
0,0.9320924291961914,-1.9003381794797698
0,-0.8996240274024658,-1.0829229697233012
1,1.91487351231808,0.9887749058352814
2,-2.74812380272762,1.318980693250443
1,2.0580802711045365,0.836263117641689
0,0.4810227621956852,-1.245411900505545
0,1.4975775031366023,-1.337836181631579
0,-1.279632089238832,-2.0756700506989643
0,-0.22966878838805838,-2.7711878279909623
1,1.7009546530525137,0.22233381266119567
1,1.5894289244765403,1.039665073613289
1,1.6958599213230856,-1.3543882992197112
0,0.817319466571163,-1.5866233920188677
0,0.6421326121339014,-0.9951820066523596
0,0.37529696179411853,-2.100911697195784
1,1.7756868772553307,0.9783341112770039
0,1.07470519050114,-2.2063720139650456
1,2.813172310797983,0.57980896302916
1,3.507133954122315,0.8975023015296979
2,-1.9510885275721948,1.891955537120965
1,3.416618929645807,0.8139863857973147
1,2.3370157444837507,-0.678122013232445
1,2.147237408646421,-0.5164045300245395
1,0.7224320725931078,0.9363030882369989
0,-0.23456735676441143,-0.7583375007943977
0,0.494992468118431,-2.215933410237362
0,-0.09000988728459902,-1.9348446212158337
1,1.47316708069323,-0.7300214189014748
1,0.6968943843290214,-0.07762604106726187
2,-2.085846106350893,2.193741615100562
0,-0.1312291690835655,-1.9980986607542537
0,-1.3679226949258048,-2.0643561684122846
2,-1.8419383135527871,1.7434721660028645
1,3.46041844319486,1.1870915705127314
2,-1.31167276023442,2.328929744813167
0,-0.5541469740863637,-1.6133412674720091
1,2.900186079583572,0.26761606826172035
0,0.19104915118560248,-0.6335850020253362
0,-0.870387453147267,-1.2041908766909355
0,0.6981077100157526,-1.2554794565692307
2,-1.5557074659873125,1.8355967117202676
0,-0.29241652652075417,-2.5813798831691024
0,-0.41263327645795633,-1.1966303502366185
0,-0.09355748263694025,-2.044079840605676
1,1.9964973279306815,-0.4479121486835811
2,-1.8920896905056694,1.7798028510334243
0,0.8684006065217875,-1.9851470418765287
0,0.41267542827907294,-0.6130093322098669
2,-2.077149179578792,2.1673903515595576
2,-2.0867569632842056,1.8902347883735509
0,-0.6986190568967201,-1.161506574386095
0,0.6598533241848541,-0.7260910005347332
0,-0.5762420488838363,-2.5590180550191683
1,2.38918947776728,1.3591130679088215
1,3.243809376265272,0.35597756185303614
1,3.2850450793249912,0.7702304719184434
0,0.1734248209627411,-2.3252268873895416
1,1.7300375410324582,0.992855043523365
2,-3.159819928225633,0.2570208160020959
2,-2.1367818214034844,1.7777709489949056
0,1.489250627169947,-1.279862651694474
2,-3.244825942679937,0.17134364473136593
2,-2.991971123843106,0.4843324088717849
1,1.5191563512532622,-0.42520154232131036
1,0.9246785228474315,0.500495433993279
1,3.6043671443706757,1.1953364195446428
0,-1.6582760379894346,-2.1326657967867195
1,3.336717010677744,0.8929086274856346
0,-0.9296471885088229,-0.9580917764860221
1,1.4987203361452466,-0.6726072786341653
2,-1.732095314116349,2.6930170180150803
1,2.3335138696593685,-0.3531767092913364
1,0.4274415675728308,0.1349322251551064
1,1.5183100297098326,-1.0488450449258278
0,1.0438428710518226,-1.6560271808211253
1,1.3304898809658925,0.6777946435304639
0,0.04022475289314642,-1.6226678227906322
0,-0.6819987022064491,-0.7047118237716088
0,0.9874046072512909,-1.6545789395003294
2,-2.4635829056780887,1.4887118395592316
0,0.960978598699663,-0.982090633596426
1,2.654028688028567,0.33018785481808305
2,-3.1474464522358834,0.27491414023443045
0,-0.2037546347638128,-2.8245110420753345
0,-1.0905341206821657,-1.4540947462669247
2,-3.0592174337733065,0.7047909534575025
0,1.0730540883036572,-0.8691466319173815
0,0.7808687227305621,-1.9679840583083623
2,-1.1168222427891572,2.358948216844117
2,-3.252295541047058,0.17404611994113744
1,1.4942883964096811,0.18509260785650927
0,0.4965035693703652,-2.401600359522218
0,0.5110102455516137,-0.34521666301012177
1,0.3875965452654969,0.1058166095892813
0,-1.0488070859003977,-2.4683554427346963
0,-1.3403383652194494,-2.4494501055825726
2,-1.7007274233254803,1.4360946651127136
0,0.14585888596810448,-1.8214637078731681
2,-1.960329384955305,2.4784355438484247
2,-2.042410391716773,1.8775915560125307
0,-0.5124127377849146,-2.5695061052572385
1,3.0101189975953115,1.7242756286007555
0,-0.1859250013563391,-1.6795964289254166
1,2.847906676388063,0.36919852267844794
1,2.008995571827668,-0.019112355489875055
2,-1.2165751111409555,2.440427268633647
1,2.859822177345267,1.092411799410078
2,-3.1491897177525923,0.5313890739436089
0,-1.1565860526365659,-2.6715041603702034
0,0.19432925929524283,-0.39551858034879106
0,0.08177425548069545,-0.8288911849912054
0,-0.0625470356069065,-1.5146659227337111
0,0.2936363455476826,-2.1167679038485447
1,3.625408862276127,1.366194542748846
1,2.0661387025083915,1.4200258100375958
2,-3.04174305098374,0.7577738238017
0,0.2534711236796975,-1.72881558168697
0,0.6973749107562598,-1.936961414387584
2,-2.6986187194047075,1.4253186210862951
0,-0.23531207013720648,-0.41095316370653256
2,-2.507294167894237,0.857318092813667
0,-0.5412960616166319,-1.6985573664206368
0,0.42590685997430744,-1.6468226806238373
0,-0.5800017892482828,-2.8776913062206617
1,1.6065353852223505,0.2994523857321195
2,-2.8663370795436447,1.1779418387202094
2,-1.8733446418507242,2.3838438372642208
0,-0.5157154944832535,-2.6280754054994806
1,2.919986657333907,1.5789073018699278
1,0.857266960750801,-0.39994794027395897
2,-2.720134134841791,0.8130358917370228
1,1.3079360328628202,-0.1469621764121905
0,0.9434364643016321,-1.8882021503591249
0,0.38023904575068873,-0.3277484063520063
1,2.171955352526052,-0.022412085938100124
2,-2.502718883599482,1.205256321087456
2,-2.0348774783064556,1.0369586381315532
0,0.09281187237685457,-2.400540433125519
0,-0.4024388555299686,-2.2097753920773657
0,1.4381276151267217,-1.095152934754903
2,-1.6923064351265626,1.9361190613913466
0,-1.383353137716421,-1.985980022976325
0,-1.4776143453918933,-2.3191307909878542
0,0.09496053675202293,-2.1686843173088266
1,0.7388469529651589,0.13520533429464376
0,0.16701778789546734,-2.101246780825393
0,-1.2542482707483071,-2.3154565426960456
0,-0.6299169568242562,-1.807326103719232
0,-1.3970214968779233,-2.102688882830571
2,-2.8378799903023473,0.5836698776163718
0,0.3466386285269388,-0.7324472280059602
1,1.179670927351694,0.14425693288360286
0,0.4510017576585223,-1.9411878469449941
2,-1.7548716142728402,2.627883016496417
1,3.547153672304953,1.7303835305997168
2,-1.9368373457425205,2.4153839040385474
0,0.9698494525172625,-1.2466452678537776
2,-1.978397502209725,1.4731122670506356
1,3.072778192356995,-0.02767481082706702
1,3.7673297165505906,1.52536613372026
2,-3.2507423938651323,0.3779014632879806
1,1.4253504523132223,-0.591958764368976
0,0.10381477146104803,-1.8669069543577035
1,3.206974616213401,1.208272359776446
0,0.026485826342348084,-2.0106870601113447
0,0.3356426845765358,-1.2872222917731568
0,0.7480868702157305,-0.9799375261629758
1,1.5844439967242074,1.4794694434673812
0,-0.45433901531890825,-2.599439278232918
0,1.1777921934266875,-1.3986544630864686
1,2.9432861150170275,0.876214492572235
0,-1.1419148643366341,-2.447535141666003
0,-1.5665152542139302,-2.3951323495616332
2,-2.1808074722074635,2.139416527485441
2,-2.4424467570084807,1.411547137905357
0,0.8291498556501308,-1.7420429287841808
1,1.3463639021898386,0.32152490254994254
1,0.8467945226132945,1.4246316915727986
1,1.4597929310454145,1.0912246632135458
1,2.5056913272193686,1.2971830549572103
0,-0.07273838515185915,-2.387423657046046
0,-0.5190984028714113,-2.8239432070201738
2,-1.2638057128155182,2.532301429510369
2,-2.7311028658094463,0.6055144493426137
0,-1.1487254352878096,-1.727855446561151
2,-2.688116688120468,0.57260255578619
0,-0.10492869368530353,-1.0344741234137456
1,0.9524697925295099,0.11107884283271027
0,-1.0073098369583486,-1.9392961595939155
0,1.129928076915989,-1.4186477494903844
1,1.9468514908883061,0.7858143413629644
1,2.7717201075142395,0.43769400459538443
1,1.7472441509296153,-0.33160847338977617
0,-0.29576304356666316,-2.3890495526192446
2,-1.7922089363676454,2.233437182332032
2,-2.2452286572056535,0.6587963189743808
0,-0.7367945272016871,-2.2485026158038206
0,-1.1414101044966936,-1.5306169772232558
0,0.3304062699330392,-2.1162959355894353
0,0.6937075704528569,-2.2353818459808124
2,-2.920804210275584,0.9344224552197657
1,2.549837085095194,1.2613349592655299
1,3.378604402892482,1.2363057211435944
1,1.1050977045385737,0.21179586253000038
1,2.3742851151386026,0.2783996117022606
0,-0.3757758534489045,-2.004259588535972
0,-0.5026822233916703,-2.4877335601404056
0,0.51810424417971,-0.5411480228465131
0,0.05249458755912456,-2.3787136345509654
0,-1.210641296913496,-2.2605087949918055
1,2.0732605189493785,-0.4421032802202918
1,2.0342533501090934,0.025382884303434106
0,-0.6268528748366508,-2.214027775826952
0,-0.8201982442644358,-1.8945585376553753
1,1.1774900714890468,0.11011115427686574
2,-2.915784306886516,0.18334671970845157
1,1.7222747716594617,1.049229674084231
1,3.31312380684813,1.6100976210345395
1,2.7661285972441245,0.6500028686375279
0,-1.0232510058156457,-2.176519947130961
0,0.10824424162511717,-1.129599363625424
0,-0.6966424914018018,-2.286313647609552
0,1.3622290662064427,-1.9320293664689205
1,2.2298443400476575,-0.6644931967730622
0,0.16552862368971216,-0.37301081580302775
1,2.5428931421016614,0.6864124324850562
1,2.290592367011193,1.6347918040448566
2,-1.8081774511647697,1.7720490856988056
0,1.0962760138487084,-1.3234024219260556
2,-2.2032229375944854,1.8894119692612774
2,-1.1130840951062873,2.3337935613141867
0,0.768474110470762,-2.0473472045324637
1,0.9294713563110152,0.2552276610089271
0,-1.589314340513358,-2.188722961158474
0,1.5001935740127208,-1.2167860645077124
0,-0.9177215148147202,-2.5532715988013797
0,0.3429779868677693,-2.052816311030349
1,2.782329092740417,-0.2522996738843177
0,0.21880624283426864,-1.1776196197576483
0,-0.05524968957305748,-1.5360788733621331
0,-1.055377554453664,-1.973815363809228
0,-1.0431176978555223,-1.7437534845205547
0,-0.9175676607625755,-2.046575945956411
2,-2.8959973708475526,0.392501167304202
0,0.6028750952857569,-0.27660588780905304
0,0.6522307448682496,-1.0709365085094373
0,0.4557530460482059,-1.7512171136355759
0,-0.7438396703235199,-2.179674155627346
0,-0.6527811535056738,-2.4472097183888364
0,-0.1335723386951544,-2.5773269170921336
0,-0.9845211831383014,-2.2377339649543972
0,0.48649093093226403,-2.320972912125864
0,-0.020382111507666563,-0.42035628949953774
0,0.5122892075705665,-0.4243958488832159
0,0.30648458781069243,-2.6076490829971934
2,-3.064077610792706,0.4131709121732342
2,-3.243995987305812,0.171043369708058
1,1.6706215705039378,0.47606475354789024
1,1.9998325193433635,-1.165772537758292
1,1.3030840277769478,-0.5740302282903108
0,-0.6590436356060624,-2.29095695418589
0,0.14895553523753535,-1.310017169912304
0,0.6170151531071457,-2.6601528688664877
0,0.17993946291776125,-2.230110481316716
1,1.553715729870844,1.4562157879091582
0,0.9384493240902216,-1.1950465501169105
2,-1.7830826883971662,2.2575133242277077
0,0.8300140738587117,-1.8133711693203765
1,0.5204699640509157,0.09152945566152264
1,1.894707578104053,-0.6880202997244476
1,1.5717871881288286,0.1538203977159568
2,-2.9443551257319824,0.018979983683260815
0,0.619583983723036,-1.665973000002239
1,2.517989755041151,0.5079781486543158
0,-0.28446053525391596,-2.6134315445779275
0,-0.1407097817829127,-2.6730985894190153
1,2.678471288924418,0.903878071719068
2,-1.6776726288858463,2.0027577868990725
1,1.0636064567393737,0.5290504840499283
0,1.2091228275307606,-1.5367662904938226
1,1.4624314732597172,-0.9987865781871823
1,1.8091737538689336,0.47483748492382505
1,1.8274622399151157,1.1655984095198844
0,-1.1706952939966833,-2.666399484973968
0,-1.0130650567787451,-1.0809017067983184
1,1.5396923312560755,0.8306808025067818
1,2.5530293022915966,-0.08082317530266248
0,0.34906942901518145,-2.0632240033510123
0,-0.4859336941633401,-2.9714586682008997
0,-0.2900024801504616,-1.4373325449018233
0,0.5766393226089087,-2.077286905297902
2,-2.2693052031839667,1.6498420321629106
2,-2.8821313715505625,0.4517157551831876
1,2.033682014293508,-0.38627102794146545
0,-0.09705464990379253,-2.709982265892254
0,-0.3154257745544524,-2.286007829569099
1,2.21942753909419,1.1124522440616984
1,2.424705494200391,-0.37402969641013756
1,2.709933027544751,1.0214781332237444
1,1.4276205332704577,-1.1360287442838186
1,3.095467089953653,0.10395432528404258
0,-0.17426486961115412,-1.0801064505478881
1,2.667145893636855,1.763001713191834
1,1.6391932003221443,0.5247491681226272
2,-2.0970788681100743,1.8715516612946885
2,-2.182239717211956,1.433174735429702
0,-0.21198301391109614,-2.964134675717548
0,0.10624744272725017,-2.653914896466426
2,-1.7468380418271352,2.4303703282666147
0,-0.2347323806604485,-1.800842519372003
1,2.5287605412584115,0.7933038528587804
1,0.7377233496465266,0.1675186029952089
0,-1.0996739619254745,-1.3924192234416417
0,0.31746068781415243,-2.5858606470797807
0,0.3665327021716762,-1.6808939472696998
0,-0.3959295091126812,-1.8418345589375824
0,0.00538380148322154,-2.319665326625344
0,-0.25309365777662585,-2.1030685230003017
1,3.1903321913926606,0.5892332400491139
0,-0.740905157822084,-1.1703015823510166
1,1.8463751710961869,-0.12054462029742144
2,-3.195070993070356,0.4682378439715217
1,1.777713687686854,-0.3089731674639663
0,0.38818659120408133,0.012252304356475646
2,-2.182094813503147,1.4320306369235085
0,0.02338814334534267,-1.9643609258571988
0,0.24459652373475904,-1.9416599861967465
0,-0.021209742353436672,-1.246255158847568
2,-3.2568047215858282,0.1738146350657826
1,3.1397590497808823,0.6125394324742364
1,3.8243322530084893,1.7997558374619205
2,-2.4931194330181308,1.6741500813465828
0,0.12672727482570484,-2.746874711593338
0,-0.9168647036598997,-0.5564889154110406
1,2.6715116630800324,0.6808529091598658
1,1.473279458367558,-1.110045749649732
1,1.5771532411203544,0.23663729475336448
0,-1.7082216939428938,-2.2275876240045935
1,1.7232954185218696,-0.9403002498163329
1,2.2865333860284887,0.9564003546326656
0,0.4966266310322179,-1.442501215910567
1,1.3571491256982098,-0.2544533012457969
0,-1.2792338889999066,-2.1099193825888367
1,2.106750061936172,1.5737114452851584
0,0.28525714080942366,-2.3697143972494543
1,2.5952949382234447,-0.05375904438781298
2,-2.859890937710955,0.571527517134464
1,2.0859309008158644,-0.605835398913905
1,0.6884271912707356,-0.14338781476272044
1,1.5492283755012373,-1.0290265156647482
0,-1.381773362843933,-2.261938501862401
0,1.281749134340081,-1.6354851529285503
1,1.4120526428490137,-0.5730881874627467
0,-1.068665351524021,-2.7320161889385526
2,-2.93989788229708,0.568864479128624
1,1.9767379739339164,-1.186742915110269
1,2.665211677370162,1.1484063025021625
1,2.2555509418114514,-0.49063887735378064
0,0.5030198236363035,-1.5275341104474112
0,0.480722756107139,-1.1169531797166135
2,-2.6829186685811552,1.4412043636927816
2,-2.522166974722145,1.2062673764792406
2,-2.8706330547859102,0.7422766599982207
1,3.050257044164762,0.4721365059305441
1,0.7771287342474233,0.5762176681539131
2,-2.6591690140056015,0.8411297330081282
2,-1.6427372211873903,2.0376581022625126
1,2.556619496642644,0.5664681054594545
1,1.28860701640666,-0.946863484433094
2,-3.0616025684132686,-0.02048522920947432
2,-3.0720325846087406,-0.014848793914576497
0,0.10866291929855765,-2.7193759275344176
2,-1.5807213649878393,1.6335286596166723
0,0.6828475831789121,-1.806179749551864
1,1.8096494387693562,-0.6470577619998071
0,0.9488199303098747,-1.1629408141859388
0,-0.07601039921417538,-1.3836365105801878
1,3.119022014795892,1.035078080272677
2,-1.7921478883266362,1.8010206225989807
0,0.48252008248170825,-1.2695050714285259
0,-0.3106697543891278,-2.574406168892894
2,-2.5204656896303965,0.5688039223716596
0,-0.44373024734129113,-2.531397343245578
1,1.4324891170619207,-0.2856987888699612
2,-1.908054497223436,1.960030333430539
0,-0.8378479387620108,-1.3011400464655605
0,0.5243527110066452,-0.6766935365289467
1,2.86976893999579,0.1406340495051846
0,0.32260978229376797,-1.840098828189828
0,0.2422694634267934,-2.186801849456533
1,1.1142024409617217,0.6244263326338804
2,-1.9322063435109966,1.7915471962693454
1,2.044830685973751,1.6659164812309009
0,-1.0173038451194483,-1.9808296110408834
0,-0.9301539695968133,-2.192504659645247
2,-2.012731694256833,1.4189700275832817
0,-0.16536529824491653,-1.1583352102948727
2,-2.301060896918006,1.561303335463255
1,3.919279696256127,1.83463288300513
1,1.4240023781274385,-0.9983654430710358
0,-1.1381438411980065,-1.8449551245923013
1,1.6264360376856122,-0.9804312525588423
1,2.112081195299308,-0.5557252647567346
1,3.0757766419893726,0.7962011504402373
0,-0.10337637730018032,-1.4297413561439423
0,0.7429828565494833,-1.283060543396839
1,2.9231966455345115,-0.2676206786998496
0,-0.9297002937206111,-2.5508006084669628
2,-1.4541691542915118,2.1031845426786147
0,0.6247944620210135,-1.7505801491328814
1,3.0177347290823837,1.663751910139673
2,-1.6722251679140514,1.9483550007882373
0,0.16170261985649959,-1.175767523720216
1,1.4507279470002856,0.4035682820144394
0,0.6701476201931686,-1.5158202112710184
2,-1.6137930970242065,2.2479672409322498
0,1.6173454109734187,-1.4669190703683266
1,1.1462108928755574,-0.04906452088443694
1,0.933549911502365,0.3886385264943486
2,-3.0945215206413326,0.4613428786301596
0,-0.2502477527830579,-2.8880425139344266
2,-3.187622539596358,0.49353148638801925
0,0.4444918640677825,-1.1160497724737928
0,0.6896235409763862,-1.6804534997968628
0,0.8117053181094963,-2.260534896293183
1,4.038698858554212,1.5125761287379746
1,0.4900280416121491,0.08692662603683948
1,2.9943339590065694,0.6894867538467738
1,2.7387805163660692,0.45576547382186194
2,-2.4453873770538834,1.7665624813969747
0,-0.5738327009640449,-1.5731690229892692
2,-2.8073556435149793,0.7414576078659534
0,-0.8302896642931181,-2.5536616243764443
0,-0.07609284133179922,-1.5638796824524082
0,-0.5602826184602085,-0.9455006753345142
0,-0.2865826868157316,-2.221699200109551
0,0.6179368319211721,-1.9995783997715573
1,1.0554963191284439,-0.5973593172621237
0,0.14944912301068514,-0.9965168715560299
0,0.3452242636246705,-2.315865185355662
0,-0.4524484418181065,-1.9073183569306733
2,-2.8771639676309397,1.3055444402600935
0,0.4565374161089381,-0.3491362629820341
0,0.4184951095129537,-2.3141451555406944
1,3.706579609360457,1.2108357990812542
0,0.2438472142225045,-1.8878281775352084
1,2.4449996739303064,0.5133212635650922
0,1.0805906566431878,-2.0136801720437094
1,2.728962378760491,1.0440694881129287
0,-0.08095515651636653,-0.523968679983192
