label,objective,dimensions,population_size,generations,processes,eval_repeats,seed,best_value,final_best_value,runtime_sec,avg_generation_ms,wall_clock_sec
convergence_grid,rastrigin,20,50,100,4,50,700100,14.857247781956971,14.857247781956971,0.4021375000011176,1.960692999928142,0.4025633999990532
convergence_grid,rastrigin,20,50,500,4,50,700500,0.40249215746976574,0.40249215746976574,1.1460068999986106,1.9278607999076485,1.1463921000031405
convergence_grid,rastrigin,20,50,1000,4,50,701000,0.016888032137416076,0.016888032137416076,2.1739981999999145,2.0002428000007058,2.174789199998486
convergence_grid,rastrigin,20,100,100,4,50,1200100,12.158531976230634,12.158531976230634,0.5598237000012887,3.76115100003517,0.5605251999986649
convergence_grid,rastrigin,20,100,500,4,50,1200500,4.0739660344308675,4.0739660344308675,2.1003462000007858,3.8771419998593046,2.100829500002874
convergence_grid,rastrigin,20,100,1000,4,50,1201000,0.03732464396907176,0.03732464396907176,3.853158899997652,3.6843305999937,3.854037099998095
convergence_grid,rastrigin,20,500,100,4,50,5200100,1.721477627478123,1.721477627478123,2.0115002000020468,18.327423999908206,2.0140571000010823
convergence_grid,rastrigin,20,500,500,4,50,5200500,0.18463914426379802,0.18463914426379802,8.804575500002102,17.237001800000144,8.806971400001203
convergence_grid,rastrigin,20,500,1000,4,50,5201000,0.8277629901203625,0.8277629901203625,18.37108839999928,18.19298649992561,18.373207900000125
speedup,rastrigin,20,300,400,1,50,5100,0.7271387824073088,0.7271387824073088,11.554454400000395,28.81945174993234,11.555028599999787
speedup,rastrigin,20,300,400,1,50,5101,1.4420166268315313,1.4420166268315313,11.628087799999776,29.000484250018417,11.628759600000194
speedup,rastrigin,20,300,400,1,50,5102,0.38084233568386594,0.38084233568386594,11.504903699998977,28.690763499944296,11.50543800000014
speedup,rastrigin,20,300,400,1,50,5103,0.5516163561460701,0.5516163561460701,11.56929549999768,28.856775500116782,11.569812799996726
speedup,rastrigin,20,300,400,1,50,5104,1.2655653889986809,1.2655653889986809,11.535915399999794,28.76458425002056,11.536493700001301
speedup,rastrigin,20,300,400,2,50,5200,0.0875717609639537,0.0875717609639537,6.457843200001662,15.739075749961556,6.4586670999997295
speedup,rastrigin,20,300,400,2,50,5201,0.4656782033787863,0.4656782033787863,6.47915439999997,15.79046224992453,6.479846300000645
speedup,rastrigin,20,300,400,2,50,5202,2.1404221888097936,2.1404221888097936,6.663333199998306,16.250223750021178,6.664460300002247
speedup,rastrigin,20,300,400,2,50,5203,0.1712938284215113,0.1712938284215113,6.513610300000437,15.786311250003564,6.514336399999593
speedup,rastrigin,20,300,400,2,50,5204,0.3859513889625532,0.3859513889625532,6.504381400001876,15.853553249926335,6.505083000000013
speedup,rastrigin,20,300,400,4,50,5400,2.1651894464897623,2.1651894464897623,4.269399199998588,10.247705249903447,4.270254999999452
speedup,rastrigin,20,300,400,4,50,5401,1.423238234203069,1.423238234203069,4.291303499998321,10.3033599999344,4.292510700001003
speedup,rastrigin,20,300,400,4,50,5402,1.3250872261117195,1.3250872261117195,4.315024100000301,10.35873975008144,4.3167334999998275
speedup,rastrigin,20,300,400,4,50,5403,1.7442641291191876,1.7442641291191876,4.455446199997823,10.71037925006749,4.456808999999339
speedup,rastrigin,20,300,400,4,50,5404,1.2768469877502469,1.2768469877502469,4.501624399999855,10.82721150004545,4.502523899998778
speedup,rastrigin,20,300,400,8,50,5800,1.482624378685955,1.482624378685955,3.7677948999989894,8.86243049996665,3.7694824999998673
speedup,rastrigin,20,300,400,8,50,5801,0.29811054521158553,0.29811054521158553,3.299317400000291,7.654491250032152,3.300938899999892
speedup,rastrigin,20,300,400,8,50,5802,1.5314507443988816,1.5314507443988816,3.418113199997606,8.007886750174293,3.419387400001142
speedup,rastrigin,20,300,400,8,50,5803,0.5833800959334212,0.5833800959334212,3.312520299998141,7.751659749937971,3.3145715999999084
speedup,rastrigin,20,300,400,8,50,5804,3.068510123091926,3.068510123091926,3.4701193000000785,8.131132500138847,3.4716234000006807
function_quality,sphere,20,200,500,4,50,7000,0.00038778862129205396,0.00038778862129205396,2.2275642000022344,4.113170400101808,2.22827789999792
function_quality,rastrigin,20,200,500,4,50,7001,1.3142048443575902,1.3142048443575902,3.8055174999972223,7.273139200005971,3.806193500000518
function_quality,rosenbrock,20,200,500,4,50,7002,17.44842253362666,17.44842253362666,6.2650843000010354,12.1786363999272,6.265850699997827
